Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
49,53.1722,522731462,27794781843.756397
1172,4605.89,523355787,2410519185785.43

weighted_avg,NA,NA,2438313967629.1865
weighted_%,NA,NA,1.0
weighted_total,2438313967629.1865
