Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
49,53.1722,1523841,81025978.42019999,1002080,53282798.176
1172,4605.89,1558219,7176985309.910001,1052920,4849633698.8

weighted_avg,NA,NA,7258011288.330201,NA,4902916496.976
weighted_%,NA,NA,0.5968303912716187,NA,0.40316960872838115
weighted_total,12160927785.306202
