Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
49,53.1722,120753,6420702.666599999,55686,2960947.1292
1172,4605.89,144796,666914448.44,60259,277546325.51

weighted_avg,NA,NA,673335151.1066,NA,280507272.6392
weighted_%,NA,NA,0.7059186447824054,NA,0.29408135521759454
weighted_total,953842423.7458
