Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
4118,2431.67,14,34043.380000000005
1010,22.174,15,332.61
1362,2347.06,14,32858.84
5198,1186.62,14,16612.68

weighted_avg,NA,NA,83847.51000000001
weighted_%,NA,NA,1.0
weighted_total,83847.51000000001
