Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
4118,2431.67,81008814,196986702739.38
1010,22.174,93586440,2075185720.56
1362,2347.06,80868606,189803470398.36
5198,1186.62,80834259,95919548414.57999

weighted_avg,NA,NA,484784907272.88
weighted_%,NA,NA,1.0
weighted_total,484784907272.88
