Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,48347,2173420.0461999997,66943,3009395.7878
812,334.908,405082,135665202.456,142362,47678172.696
1358,97.2156,112867,10972433.1252,142474,13850695.394399999
1778,40.8635,4,163.454,41,1675.4035000000001
828,45.4532,625,28408.25,2864,130177.9648
2213,8.07837,42,339.29154,452,3651.4232399999996
1726,65.5195,683,44749.818499999994,789,51694.8855
2054,37.2896,1874,69880.7104,4147,154639.9712
1903,16.1097,92,1482.0924,264,4252.9608
509,133.977,72480,9710652.96,25886,3468128.622
1751,10.0901,0,0.0,8,80.7208
62,40.4224,36240,1464907.776,20936,846283.3664
2151,40.7196,379,15432.7284,4290,174687.084
239,98.774,2342,231328.708,1133,111910.942
1893,44.3029,1,44.3029,18,797.4522000000001
1305,111.513,142229,15860382.477,176929,19729883.577
1673,34.2884,405,13886.802000000001,319,10937.999600000001
492,45.4197,58607,2661912.3578999997,44367,2015135.8299
2249,320.874,184730,59275054.02,219595,70462326.03
264,17.7912,43613,775927.6056,31046,552345.5952
2123,26.1783,97,2539.2951,49,1282.7367
116,27.1629,786,21350.0394,423,11489.9067
1159,18.1708,443,8049.6644,4999,90835.8292
1270,263.009,60357,15874434.213000001,213451,56139534.059
2165,28.2044,692,19517.4448,249,7022.8956
1152,171.372,2881,493722.732,5564,953513.8080000001
792,79.0312,156762,12389088.9744,19960,1577462.7519999999
1979,51.6033,4486,231492.4038,2313,119358.4329
2185,56.1164,25,1402.9099999999999,301,16891.0364

weighted_avg,NA,NA,268007206.65894002,NA,221174265.16283995
weighted_%,NA,NA,0.5478686787969378,NA,0.45213132120306226
weighted_total,489181471.82177997
