Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1647744,74073672.4224,4520,203194.792
812,334.908,1640001,549249454.908,30195,10112547.06
1358,97.2156,1417628,137815556.5968,19430,1888899.108
1778,40.8635,1418869,57979953.381500006,4,163.454
828,45.4532,2655155,120685291.246,629,28590.062800000003
2213,8.07837,1257141,10155650.140169999,75,605.87775
1726,65.5195,1214025,79542310.9875,29,1900.0654999999997
2054,37.2896,1418574,52898057.0304,445,16593.872
1903,16.1097,835768,13463971.7496,35,563.8395
509,133.977,1358783,182045669.991,7427,995047.179
1751,10.0901,1291172,13028054.597199999,0,0.0
62,40.4224,1553056,62778250.8544,2102,84967.8848
2151,40.7196,2244264,91385532.3744,387,15758.4852
239,98.774,1440465,142280489.91,133,13136.942000000001
1893,44.3029,697845,30916557.2505,0,0.0
1305,111.513,1722425,192072779.025,26521,2957436.273
1673,34.2884,1528851,52421854.628400005,135,4628.934
492,45.4197,1239668,56305348.6596,7362,334379.83139999997
2249,320.874,1943345,623568883.5300001,36249,11631361.626
264,17.7912,2874331,51137797.6872,2268,40350.4416
2123,26.1783,1359789,35596964.3787,54,1413.6282
116,27.1629,1296716,35222567.0364,353,9588.5037
1159,18.1708,1561251,28369179.6708,396,7195.6368
1270,263.009,2184843,574633372.587,18407,4841206.663000001
2165,28.2044,1061170,29929663.148,3,84.6132
1152,171.372,1542974,264422540.328,598,102480.456
792,79.0312,1211477,95744481.0824,1694,133878.8528
1979,51.6033,1187748,61291716.3684,1449,74773.1817
2185,56.1164,2642765,148302457.846,40,2244.656

weighted_avg,NA,NA,3867318079.4157696,NA,33502991.919949993
weighted_%,NA,NA,0.991411297440393,NA,0.008588702559606995
weighted_total,3900821071.3357196
