Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,425185,19114021.601
812,334.908,1581495,529655327.46000004
1358,97.2156,2546685,247577510.28599998
1778,40.8635,950,38820.325000000004
828,45.4532,170560,7752497.792
2213,8.07837,21445,173240.64465
1726,65.5195,1575,103193.2125
2054,37.2896,59085,2203256.016
1903,16.1097,4705,75796.1385
509,133.977,822790,110234935.83
1751,10.0901,0,0.0
62,40.4224,172145,6958514.048
2151,40.7196,148520,6047674.992
239,98.774,7275,718580.85
1893,44.3029,0,0.0
1305,111.513,4054855,452169045.615
1673,34.2884,12155,416775.50200000004
492,45.4197,928890,42189905.133
2249,320.874,3261820,1046633230.6800001
264,17.7912,226025,4021255.98
2123,26.1783,6145,160865.65350000001
116,27.1629,27850,756486.765
1159,18.1708,87645,1592579.766
1270,263.009,3339200,878239652.8000001
2165,28.2044,2105,59370.262
1152,171.372,61925,10612211.100000001
792,79.0312,94365,7457779.188
1979,51.6033,359295,18540807.673499998
2185,56.1164,10800,606057.12

weighted_avg,NA,NA,3394109392.4336505
weighted_%,NA,NA,1.0
weighted_total,3394109392.4336505
