Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,8182,367818.5372
812,334.908,111990,37506346.92
1358,97.2156,61138,5943567.3527999995
1778,40.8635,24,980.724
828,45.4532,850,38635.22
2213,8.07837,129,1042.10973
1726,65.5195,10,655.1949999999999
2054,37.2896,728,27146.8288
1903,16.1097,66,1063.2402
509,133.977,9633,1290600.441
1751,10.0901,0,0.0
62,40.4224,2293,92688.5632
2151,40.7196,719,29277.3924
239,98.774,199,19656.026
1893,44.3029,0,0.0
1305,111.513,79942,8914572.246000001
1673,34.2884,103,3531.7052000000003
492,45.4197,14800,672211.5599999999
2249,320.874,128359,41187065.766
264,17.7912,8392,149303.7504
2123,26.1783,23,602.1009
116,27.1629,302,8203.1958
1159,18.1708,567,10302.8436
1270,263.009,47556,12507656.004
2165,28.2044,85,2397.374
1152,171.372,607,104022.804
792,79.0312,7605,601032.276
1979,51.6033,833,42985.548899999994
2185,56.1164,105,5892.222

weighted_avg,NA,NA,109529257.94713001
weighted_%,NA,NA,1.0
weighted_total,109529257.94713001
