Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,62651,2816450.6445999998,0,0.0
812,334.908,293574,98320281.192,0,0.0
1358,97.2156,384976,37425672.8256,0,0.0
1778,40.8635,192,7845.792,0,0.0
828,45.4532,24118,1096240.2776000001,0,0.0
2213,8.07837,1531,12367.98447,0,0.0
1726,65.5195,254,16641.952999999998,0,0.0
2054,37.2896,6785,253009.936,0,0.0
1903,16.1097,595,9585.2715,0,0.0
509,133.977,146341,19606328.157,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,30207,1221039.4368,0,0.0
2151,40.7196,17727,721836.3491999999,0,0.0
239,98.774,1434,141641.916,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,595388,66393502.044,0,0.0
1673,34.2884,2177,74645.8468,0,0.0
492,45.4197,144355,6556560.7935,0,0.0
2249,320.874,526280,168869568.72,0,0.0
264,17.7912,34513,614027.6856,0,0.0
2123,26.1783,826,21623.2758,0,0.0
116,27.1629,5019,136330.5951,0,0.0
1159,18.1708,8884,161429.3872,0,0.0
1270,263.009,409384,107671676.456,0,0.0
2165,28.2044,424,11958.6656,0,0.0
1152,171.372,9626,1649626.8720000002,0,0.0
792,79.0312,19415,1534390.748,0,0.0
1979,51.6033,59784,3085051.6872,0,0.0
2185,56.1164,1200,67339.68,0,0.0

weighted_avg,NA,NA,518496674.19257003,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,518496674.19257003
