Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,2941,132211.4786,1579,70983.3134
812,334.908,24976,8364662.208000001,5219,1747884.8520000002
1358,97.2156,14256,1385905.5936,5174,502993.5144
1778,40.8635,3,122.5905,1,40.8635
828,45.4532,312,14181.3984,317,14408.664400000001
2213,8.07837,10,80.7837,65,525.0940499999999
1726,65.5195,24,1572.4679999999998,5,327.59749999999997
2054,37.2896,242,9024.0832,203,7569.7888
1903,16.1097,13,209.4261,22,354.4134
509,133.977,6295,843385.215,1132,151661.964
1751,10.0901,0,0.0,0,0.0
62,40.4224,1861,75226.0864,241,9741.798400000001
2151,40.7196,118,4804.9128,269,10953.5724
239,98.774,119,11754.106,14,1382.836
1893,44.3029,0,0.0,0,0.0
1305,111.513,18688,2083954.9440000001,7499,836235.9870000001
1673,34.2884,109,3737.4356000000002,26,891.4984000000001
492,45.4197,5606,254622.8382,1756,79756.9932
2249,320.874,26123,8382191.502,10126,3249170.1240000003
264,17.7912,1686,29995.9632,476,8468.6112
2123,26.1783,46,1204.2018,8,209.4264
116,27.1629,313,8501.9877,40,1086.516
1159,18.1708,106,1926.1048,285,5178.678
1270,263.009,8339,2193232.051,9999,2629826.991
2165,28.2044,3,84.6132,0,0.0
1152,171.372,422,72318.98400000001,176,30161.472
792,79.0312,1670,131982.104,24,1896.7487999999998
1979,51.6033,1114,57486.076199999996,335,17287.105499999998
2185,56.1164,6,336.6984,34,1907.9576

weighted_avg,NA,NA,24064715.8544,NA,9380906.38135
weighted_%,NA,NA,0.7195176601820624,NA,0.2804823398179375
weighted_total,33445622.23575
