Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2264,44.9546,170584,7668535.4864,995,44729.827,3855232,173310412.4672
812,334.908,63522,21274025.976,948,317492.78400000004,4078788,1366018731.504
1358,97.2156,281052,27322638.8112,6560,637734.336,3275360,318416087.616
1778,40.8635,350930,14340228.055000002,2878,117605.153,17512017,715602306.6795
828,45.4532,963466,43792612.791200005,9331,424123.8092,3456774,157121439.9768
2213,8.07837,808719,6533131.30803,55726,450175.24662,4051723,32731317.53151
1726,65.5195,95532,6259208.874,1866,122259.38699999999,3931562,257593976.45899996
2054,37.2896,52297,1950134.2112,410,15288.736,3320297,123812547.0112
1903,16.1097,652594,10513093.5618,2525,40676.9925,2531342,40779160.2174
509,133.977,1015920,136109913.84,4738,634783.0260000001,2628092,352103881.884
1751,10.0901,299024,3017182.0623999997,10414,105078.3014,3209413,32383298.1113
62,40.4224,59236,2394461.2864,547,22111.0528,4102387,165828328.26880002
2151,40.7196,457716,18638012.4336,8535,347541.786,3713461,151210646.5356
239,98.774,96295,9511442.33,86,8494.564,3892127,384440952.298
1893,44.3029,413777,18331521.0533,677,29993.0633,1610918,71368339.0622
1305,111.513,297992,33229981.896,12012,1339494.156,3680625,410437535.625
1673,34.2884,85245,2922914.6580000003,59,2023.0156000000002,4745780,162725202.95200002
492,45.4197,635885,28881705.934499998,5516,250535.06519999998,2593229,117783683.2113
2249,320.874,177744,57033428.256000005,9910,3179861.3400000003,4294783,1378084200.342
264,17.7912,624520,11110960.224,67818,1206563.6016,3093996,55045901.6352
2123,26.1783,350031,9163216.5273,559,14633.6697,1867092,48877294.5036
116,27.1629,267622,7269389.6238,1064,28901.3256,2899498,78758774.2242
1159,18.1708,121254,2203282.1832,22250,404300.3,3422452,62188690.8016
1270,263.009,172249,45303037.241000004,6650,1749009.85,3741377,984015823.393
2165,28.2044,119190,3361682.4359999998,3591,101282.0004,3387542,95543589.5848
1152,171.372,405224,69444047.32800001,8457,1449293.0040000002,3433706,588441064.6320001
792,79.0312,75349,5954921.8888,67,5295.0904,3727392,294580262.6304
1979,51.6033,629560,32487373.547999997,17513,903728.5928999999,2472942,127611967.90859999
2185,56.1164,989369,55519826.5516,4712,264420.4768,3104763,174228122.4132

weighted_avg,NA,NA,691541910.37673,NA,14217429.553020002,NA,8921043539.479408
weighted_%,NA,NA,0.0718350545907483,NA,0.0014768589043647885,NA,0.9266880865048869
weighted_total,9626802879.409159
