Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1153400,51850635.64,1061157,47703888.4722
812,334.908,1140789,382059362.412,688606,230619658.248
1358,97.2156,943602,91732834.5912,940166,91398801.7896
1778,40.8635,1379367,56365763.4045,208364,8514482.314000001
828,45.4532,1162108,52821527.3456,2687834,122170656.3688
2213,8.07837,1190580,9617945.7546,293081,2367616.7579699997
1726,65.5195,1229210,80537224.595,164826,10799317.106999999
2054,37.2896,1401844,52274202.0224,89449,3335517.4304
1903,16.1097,822143,13244477.0871,29616,477104.8752
509,133.977,1062362,142332073.674,402351,53905779.927
1751,10.0901,1324017,13359463.931699999,67446,680536.8846
62,40.4224,1390374,56202253.9776,443907,17943786.316800002
2151,40.7196,1324081,53916048.6876,2011512,81907964.0352
239,98.774,1447842,143009145.708,93129,9198723.846
1893,44.3029,673142,29822142.7118,51207,2268618.6003
1305,111.513,1121864,125102420.23200001,1236292,137862629.796
1673,34.2884,1380728,47342953.9552,324553,11128403.0852
492,45.4197,918256,41706912.0432,543358,24679157.3526
2249,320.874,1214311,389640827.814,1869553,599890949.322
264,17.7912,1312014,23342303.4768,2738171,48715347.8952
2123,26.1783,1109172,29036237.3676,438193,11471147.8119
116,27.1629,1251829,34003305.9441,1141338,31002049.9602
1159,18.1708,1384794,25162814.8152,633914,11518724.5112
1270,263.009,1265680,332885231.12,2218078,583374476.702
2165,28.2044,1107408,31233778.1952,38123,1075236.3412
1152,171.372,1166771,199951879.812,872907,149591818.404
792,79.0312,998156,78885466.4672,92574,7316234.3088
1979,51.6033,1054304,54405565.603199996,349590,18039997.647
2185,56.1164,1107871,62169732.1844,3055456,171461191.0784

weighted_avg,NA,NA,2704014530.5731997,NA,2490419817.1887703
weighted_%,NA,NA,0.5205599588987448,NA,0.4794400411012551
weighted_total,5194434347.7619705
