Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4342070,195196020.02199998
812,334.908,3922409,1313646153.372
1358,97.2156,5684275,552600204.6899999
1778,40.8635,10646465,435051822.52750003
828,45.4532,9863018,448305729.7576
2213,8.07837,4738410,38278629.1917
1726,65.5195,2978028,195118905.54599997
2054,37.2896,2862542,106743046.1632
1903,16.1097,3128262,50395362.3414
509,133.977,9561002,1280954364.954
1751,10.0901,3674232,37073368.3032
62,40.4224,3929899,158855949.33760002
2151,40.7196,9275565,377697296.574
239,98.774,2947308,291117400.392
1893,44.3029,3555904,157536859.3216
1305,111.513,7078494,789344101.422
1673,34.2884,3975021,136297110.0564
492,45.4197,7264025,329929836.2925
2249,320.874,4607960,1478574557.0400002
264,17.7912,16033801,285260560.3512
2123,26.1783,10479868,274345128.4644
116,27.1629,6215241,168823969.75890002
1159,18.1708,3869575,70313273.41
1270,263.009,5915152,1555738212.368
2165,28.2044,3293025,92877794.31
1152,171.372,3782510,648216303.72
792,79.0312,4205926,332399378.8912
1979,51.6033,4501985,232317282.55049998
2185,56.1164,15918826,893307207.3464

weighted_avg,NA,NA,12926315828.475296
weighted_%,NA,NA,1.0
weighted_total,12926315828.475296
