Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1152824,51824741.7904,1239994,55743434.2724
812,334.908,1047467,350805078.036,493579,165303555.732
1358,97.2156,931895,90594731.56199999,1071432,104159904.7392
1778,40.8635,1379357,56365354.7695,263000,10747100.5
828,45.4532,1162097,52821027.360400006,3169249,144052508.6468
2213,8.07837,1190577,9617921.51949,335852,2713136.72124
1726,65.5195,1229180,80535259.00999999,196820,12895547.989999998
2054,37.2896,1401723,52269689.9808,106581,3974362.8576
1903,16.1097,822122,13244138.783400001,35792,576598.3824
509,133.977,1054488,141277138.776,449401,60209397.777
1751,10.0901,1324006,13359352.9406,84878,856427.5078
62,40.4224,1388107,56110616.396800004,453106,18315631.974400003
2151,40.7196,1324097,53916700.2012,2391129,97365816.4284
239,98.774,1447854,143010330.996,111214,10985051.636
1893,44.3029,673134,29821788.2886,59885,2653079.1665000003
1305,111.513,1105408,123267362.304,1397529,155842651.377
1673,34.2884,1380678,47341239.53520001,380738,13054896.839200001
492,45.4197,909089,41290549.6533,601268,27309412.1796
2249,320.874,1183777,379843261.09800005,2042727,655457983.398
264,17.7912,1311331,23330152.0872,3213547,57172857.3864
2123,26.1783,1109173,29036263.5459,494387,12942211.2021
116,27.1629,1251915,34005641.9535,1309576,35571881.9304
1159,18.1708,1384772,25162415.0576,748819,13606640.2852
1270,263.009,1262753,332115403.777,2568977,675664071.793
2165,28.2044,1107422,31234173.0568,46277,1305215.0188
1152,171.372,1166339,199877847.108,1043988,178910311.536
792,79.0312,996648,78766287.41759999,86472,6833985.9264
1979,51.6033,1052961,54336262.3713,417358,21537050.0814
2185,56.1164,1107869,62169619.9516,3515482,197276194.1048

weighted_avg,NA,NA,2657350349.3281903,NA,2743036917.3900404
weighted_%,NA,NA,0.492066627463004,NA,0.5079333725369959
weighted_total,5400387266.718231
