Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,47881,2152471.2026,66094,2971229.3323999997
812,334.908,412815,138255046.02,117022,39191603.976
1358,97.2156,112032,10891258.0992,119911,11657219.8116
1778,40.8635,6,245.181,41,1675.4035000000001
828,45.4532,720,32726.304,2940,133632.408
2213,8.07837,47,379.68339,487,3934.16619
1726,65.5195,684,44815.337999999996,789,51694.8855
2054,37.2896,1966,73311.3536,4432,165267.5072
1903,16.1097,100,1610.97,256,4124.0832
509,133.977,75100,10061672.700000001,23024,3084686.448
1751,10.0901,0,0.0,8,80.7208
62,40.4224,36997,1495507.5328000002,20460,827042.3040000001
2151,40.7196,397,16165.681199999999,4409,179532.7164
239,98.774,2332,230340.968,1224,120899.376
1893,44.3029,1,44.3029,18,797.4522000000001
1305,111.513,140552,15673375.176,147267,16422184.971
1673,34.2884,428,14675.435200000002,341,11692.344400000002
492,45.4197,60706,2757248.3082,39990,1816333.8029999998
2249,320.874,188268,60410306.232,174131,55874110.494
264,17.7912,42460,755414.352,28820,512742.384
2123,26.1783,98,2565.4734,67,1753.9461000000001
116,27.1629,676,18362.1204,404,10973.8116
1159,18.1708,470,8540.276,5014,91108.3912
1270,263.009,60972,16036184.748000002,211509,55628770.581
2165,28.2044,692,19517.4448,249,7022.8956
1152,171.372,3116,533995.152,5547,950600.484
792,79.0312,154037,12173728.9544,15315,1210362.828
1979,51.6033,4786,246973.3938,1963,101297.2779
2185,56.1164,24,1346.7936,330,18518.412

weighted_avg,NA,NA,271907829.19649,NA,191050893.21479002
weighted_%,NA,NA,0.587326290733398,NA,0.41267370926660185
weighted_total,462958722.41128004
