Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2264,44.9546,15.707,706.1019022
812,334.908,17.275,5785.535699999999
1358,97.2156,16.334,1587.9196103999998
1778,40.8635,16.006,654.061181
828,45.4532,16.111,732.2965052000001
2213,8.07837,12.843,103.75050591
1726,65.5195,16.166,1059.1882369999998
2054,37.2896,18.127,675.9485791999999
1903,16.1097,11.516,185.5193052
509,133.977,19.637,2630.9063490000003
1751,10.0901,18.318,184.83045180000002
62,40.4224,15.288,617.9776512000001
2151,40.7196,16.954,690.3600984
239,98.774,16.526,1632.339124
1893,44.3029,14.577,645.8033733
1305,111.513,15.374,1714.4008620000002
1673,34.2884,11.735,402.374374
492,45.4197,18.492,839.9010924
2249,320.874,14.993,4810.863882000001
264,17.7912,20.125,358.04789999999997
2123,26.1783,21.46,561.786318
116,27.1629,21.593,586.5284997
1159,18.1708,16.798,305.23309839999996
1270,263.009,15.393,4048.497537
2165,28.2044,17.667,498.28713480000005
1152,171.372,14.081,2413.089132
792,79.0312,17.773,1404.6215175999998
1979,51.6033,16.95,874.6759349999999
2185,56.1164,16.123,904.7647172000001

weighted_avg,NA,NA,37615.610573909995
weighted_%,NA,NA,1.0
weighted_total,37615.610573909995
