Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,8540,383912.284
812,334.908,59169,19816171.452
1358,97.2156,43929,4270584.0923999995
1778,40.8635,32,1307.632
828,45.4532,1097,49862.1604
2213,8.07837,192,1551.04704
1726,65.5195,12,786.2339999999999
2054,37.2896,878,32740.2688
1903,16.1097,72,1159.8984
509,133.977,6260,838696.02
1751,10.0901,0,0.0
62,40.4224,2089,84442.39360000001
2151,40.7196,867,35303.8932
239,98.774,223,22026.602
1893,44.3029,0,0.0
1305,111.513,57141,6371964.333000001
1673,34.2884,119,4080.3196000000003
492,45.4197,9991,453788.2227
2249,320.874,88956,28543667.544000003
264,17.7912,6263,111426.2856
2123,26.1783,24,628.2792
116,27.1629,322,8746.4538
1159,18.1708,652,11847.3616
1270,263.009,48940,12871660.46
2165,28.2044,85,2397.374
1152,171.372,559,95796.948
792,79.0312,4304,340150.28479999996
1979,51.6033,555,28639.8315
2185,56.1164,130,7295.132

weighted_avg,NA,NA,74390632.80763999
weighted_%,NA,NA,1.0
weighted_total,74390632.80763999
