Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,150704676,6774868427.7095995
812,334.908,161455287,54072667258.596
1358,97.2156,228868897,22249627143.1932
1778,40.8635,508748362,20789238690.587
828,45.4532,363574777,16525637053.936401
2213,8.07837,206439733,1667696545.8752098
1726,65.5195,130461754,8547788891.202999
2054,37.2896,128822587,4803742740.1952
1903,16.1097,149056546,2401256239.0962
509,133.977,445302719,59660322383.463005
1751,10.0901,168444072,1699617530.8871999
62,40.4224,170502367,6892114879.820801
2151,40.7196,361069993,14702625686.9628
239,98.774,127165662,12560661098.388
1893,44.3029,171454113,7595914422.827701
1305,111.513,281706966,31413988899.558002
1673,34.2884,176813405,6062648756.002001
492,45.4197,326447068,14827127894.4396
2249,320.874,123975322,39780457471.428
264,17.7912,673417182,11980899768.3984
2123,26.1783,423519194,11087012516.2902
116,27.1629,242750967,6593820241.524301
1159,18.1708,147326812,2677046035.4896
1270,263.009,170495259,44841787574.331
2165,28.2044,152377222,4297708120.1768
1152,171.372,139846848,23965834035.456
792,79.0312,196926728,15563355625.913599
1979,51.6033,201968409,10422236400.1497
2185,56.1164,619137065,34743743194.366

weighted_avg,NA,NA,499201445526.2645
weighted_%,NA,NA,1.0
weighted_total,499201445526.2645
