Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200631,53973886.3526,1270668,57122371.6728
812,334.908,1500427,502505005.716,619317,207414217.836
1358,97.2156,1041986,101297294.18159999,1177216,114443759.76959999
1778,40.8635,1379362,56365559.087000005,263031,10748367.2685
828,45.4532,1162853,52855389.979600005,3171793,144168141.58760002
2213,8.07837,1190600,9618107.321999999,336205,2715988.3858499997
1726,65.5195,1230008,80589509.15599999,197032,12909438.123999998
2054,37.2896,1403679,52342628.4384,109329,4076834.6784
1903,16.1097,822207,13245508.1079,35923,578708.7531
509,133.977,1145122,153420010.194,462630,61981779.510000005
1751,10.0901,1324006,13359352.9406,84878,856427.5078
62,40.4224,1424372,57576534.73280001,463937,18753446.9888
2151,40.7196,1324330,53926187.868,2393143,97447825.7028
239,98.774,1450407,143262501.018,111884,11051230.216
1893,44.3029,673134,29821788.2886,59885,2653079.1665000003
1305,111.513,1246209,138968504.217,1537362,171435848.706
1673,34.2884,1381364,47364761.37760001,380937,13061720.230800001
492,45.4197,976104,44334350.848799996,627193,28486917.9021
2249,320.874,1361174,436765346.07600003,2233276,716600203.2240001
264,17.7912,1359056,24179237.1072,3228368,57436540.7616
2123,26.1783,1109308,29039797.6164,494476,12944541.0708
116,27.1629,1253479,34048124.729100004,1309834,35578889.9586
1159,18.1708,1385402,25173862.6616,751506,13655465.2248
1270,263.009,1313275,345403144.475,2694517,708682221.653
2165,28.2044,1108338,31260008.2872,46330,1306709.852
1152,171.372,1169617,200439604.52400002,1046381,179320404.73200002
792,79.0312,1191623,94175395.6376,91987,7269842.9944
1979,51.6033,1060291,54714514.5603,419563,21650835.357899997
2185,56.1164,1107888,62170686.1632,3515636,197284836.0304

weighted_avg,NA,NA,2942196601.6640997,NA,2911636594.8661504
weighted_%,NA,NA,0.5026102560298492,NA,0.49738974397015073
weighted_total,5853833196.530251
