Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,33186,1491863.3556,14695,660607.847
812,334.908,353116,118261373.32800001,59699,19993672.692
1358,97.2156,74271,7220299.8275999995,37761,3670958.2715999996
1778,40.8635,2,81.727,4,163.454
828,45.4532,251,11408.753200000001,469,21317.5508
2213,8.07837,4,32.31348,43,347.36991
1726,65.5195,598,39180.66099999999,86,5634.677
2054,37.2896,1163,43367.8048,803,29943.5488
1903,16.1097,45,724.9365,55,886.0335
509,133.977,68901,9231149.277,6199,830523.4230000001
1751,10.0901,0,0.0,0,0.0
62,40.4224,28971,1171077.3504,8026,324430.18240000005
2151,40.7196,46,1873.1016,351,14292.5796
239,98.774,1941,191720.334,391,38620.634
1893,44.3029,0,0.0,1,44.3029
1305,111.513,93351,10409850.063000001,47201,5263525.113
1673,34.2884,371,12720.996400000002,57,1954.4388000000001
492,45.4197,49519,2249138.1243,11187,508110.1839
2249,320.874,120095,38535363.03,68173,21874943.202000003
264,17.7912,36958,657527.1696,5502,97887.1824
2123,26.1783,67,1753.9461000000001,31,811.5273
116,27.1629,662,17981.8398,14,380.2806
1159,18.1708,67,1217.4436,403,7322.8324
1270,263.009,30461,8011517.149,30511,8024667.599
2165,28.2044,638,17994.4072,54,1523.0375999999999
1152,171.372,1998,342401.25600000005,1118,191593.896
792,79.0312,150248,11874279.7376,3789,299449.2168
1979,51.6033,3907,201614.0931,879,45359.3007
2185,56.1164,0,0.0,24,1346.7936

weighted_avg,NA,NA,209997512.02588,NA,61910317.17061001
weighted_%,NA,NA,0.7723113845101109,NA,0.2276886154898889
weighted_total,271907829.19649005
