Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,11099,498951.1054,7424,333742.9504
812,334.908,83198,27863675.784,15156,5075865.648
1358,97.2156,23194,2254818.6264,24001,2333271.6155999997
1778,40.8635,1,40.8635,0,0.0
828,45.4532,224,10181.516800000001,983,44680.4956
2213,8.07837,14,113.09718,161,1300.61757
1726,65.5195,208,13628.055999999999,114,7469.222999999999
2054,37.2896,563,20994.0448,692,25804.4032
1903,16.1097,29,467.1813,30,483.291
509,133.977,17561,2352770.097,2432,325832.064
1751,10.0901,0,0.0,0,0.0
62,40.4224,6022,243423.69280000002,1188,48021.811200000004
2151,40.7196,77,3135.4092,737,30010.3452
239,98.774,424,41880.176,133,13136.942000000001
1893,44.3029,0,0.0,0,0.0
1305,111.513,30840,3439060.9200000004,33127,3694091.151
1673,34.2884,213,7303.4292000000005,16,548.6144
492,45.4197,13673,621023.5581,5376,244176.30719999998
2249,320.874,36356,11665695.144000001,34371,11028760.254
264,17.7912,7995,142240.644,2714,48285.3168
2123,26.1783,17,445.0311,33,863.8839
116,27.1629,455,12359.1195,29,787.7241
1159,18.1708,94,1708.0552,516,9376.1328
1270,263.009,12061,3172151.549,38234,10055886.106
2165,28.2044,190,5358.836,2,56.4088
1152,171.372,1066,182682.55200000003,703,120474.516
792,79.0312,40425,3194836.26,991,78319.9192
1979,51.6033,2580,133136.514,682,35193.4506
2185,56.1164,10,561.164,22,1234.5608

weighted_avg,NA,NA,55882642.42648,NA,33557673.75237
weighted_%,NA,NA,0.6248037217884367,NA,0.3751962782115634
weighted_total,89440316.17885
