Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
2264,44.9546,34,1528.4564
812,334.908,40,13396.32
1358,97.2156,39,3791.4084
1778,40.8635,47,1920.5845000000002
828,45.4532,37,1681.7684000000002
2213,8.07837,43,347.36991
1726,65.5195,42,2751.8189999999995
2054,37.2896,44,1640.7424
1903,16.1097,46,741.0462
509,133.977,45,6028.965
1751,10.0901,45,454.05449999999996
62,40.4224,42,1697.7408
2151,40.7196,37,1506.6252
239,98.774,41,4049.734
1893,44.3029,48,2126.5392
1305,111.513,39,4349.0070000000005
1673,34.2884,44,1508.6896000000002
492,45.4197,44,1998.4668
2249,320.874,26,8342.724
264,17.7912,41,729.4392
2123,26.1783,40,1047.132
116,27.1629,38,1032.1902
1159,18.1708,39,708.6612
1270,263.009,29,7627.261
2165,28.2044,45,1269.198
1152,171.372,36,6169.392000000001
792,79.0312,46,3635.4352
1979,51.6033,43,2218.9419
2185,56.1164,40,2244.656

weighted_avg,NA,NA,86544.36801000002
weighted_%,NA,NA,1.0
weighted_total,86544.36801000002
