Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,385428,312254879.62799996,69169,56037334.518999994
5297,898.498,384734,345682729.532,70861,63668466.778000005
5168,967.77,384649,372251762.73,70365,68097136.05
2807,979.819,385030,377259709.57,70733,69305537.32699999
2215,509.983,384274,195973207.342,69107,35243395.181
1490,862.35,384097,331226047.95,70507,60801711.45
3954,490.914,384231,188624377.134,69059,33902029.926
2031,399.553,384233,153521447.849,69154,27630688.162

weighted_avg,NA,NA,2276794161.735,NA,414686299.393
weighted_%,NA,NA,0.8459263199632499,NA,0.15407368003675007
weighted_total,2691480461.1280003
