Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,52230,42314186.73,3489,2826616.8389999997
5297,898.498,52571,47234938.358,3563,3201348.3740000003
5168,967.77,52512,50819538.24,3469,3357194.13
2807,979.819,52440,51381708.36,3492,3421527.948
2215,509.983,52700,26876104.1,3457,1763011.231
1490,862.35,52698,45444120.300000004,3554,3064791.9
3954,490.914,52618,25830912.851999998,3472,1704453.408
2031,399.553,52861,21120771.133,3461,1382852.933

weighted_avg,NA,NA,311022280.0730001,NA,20721796.762999997
weighted_%,NA,NA,0.9375367995696153,NA,0.06246320043038464
weighted_total,331744076.8360001
