Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
517,810.151,19,15392.868999999999
5297,898.498,19,17071.462
5168,967.77,19,18387.63
2807,979.819,19,18616.560999999998
2215,509.983,19,9689.677
1490,862.35,19,16384.65
3954,490.914,19,9327.366
2031,399.553,19,7591.507

weighted_avg,NA,NA,112461.72199999998
weighted_%,NA,NA,1.0
weighted_total,112461.72199999998
