Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,49017,39711171.566999994,0,0.0
5297,898.498,49354,44344470.292,0,0.0
5168,967.77,49344,47753642.88,0,0.0
2807,979.819,49232,48238449.008,0,0.0
2215,509.983,49486,25237018.738,0,0.0
1490,862.35,49460,42651831.0,0,0.0
3954,490.914,49417,24259497.138,0,0.0
2031,399.553,49607,19820625.671,0,0.0

weighted_avg,NA,NA,292016706.29399997,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,292016706.29399997
