Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,60150,48730582.65,50513,40923157.463
5297,898.498,60036,53942225.928,50938,45767691.124000005
5168,967.77,59994,58060393.379999995,50569,48939161.13
2807,979.819,60105,58892020.995,50868,49841432.892
2215,509.983,59832,30513302.856,50319,25661834.577
1490,862.35,59776,51547833.6,50552,43593517.2
3954,490.914,59690,29302656.66,50392,24738138.288
2031,399.553,59769,23880883.257,50231,20069946.743

weighted_avg,NA,NA,354869899.3260001,NA,299534879.41699994
weighted_%,NA,NA,0.5422788935124292,NA,0.4577211064875708
weighted_total,654404778.743
