Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
517,810.151,2323666,1882520333.566,723418,586077816.1179999,696,563865.096,2,1620.302
5297,898.498,2331240,2094614477.5200002,726599,652847748.302,953,856268.594,183,164425.13400000002
5168,967.77,2330270,2255165397.9,723394,700079011.38,968,936801.36,1,967.77
2807,979.819,2323999,2277098376.1809998,723347,708749134.193,1119,1096417.461,3,2939.457
2215,509.983,2333985,1190292672.255,721416,367909895.928,1097,559451.351,2,1019.966
1490,862.35,2339010,2017045273.5,721545,622224330.75,1069,921852.15,173,149186.55000000002
3954,490.914,2333742,1145666620.188,721210,354052085.94,944,463422.816,1,490.914
2031,399.553,2334919,932923891.207,721707,288360196.971,1133,452693.549,1,399.553

weighted_avg,NA,NA,13795327042.317001,NA,4280300219.5820003,NA,5850772.376999999,NA,321049.646
weighted_%,NA,NA,0.7629399584792174,NA,0.23671871364769026,NA,0.0003235724691909887,NA,1.7755403901455323e-05
weighted_total,18081799083.922
