Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,650284493,526828632288.443
5297,898.498,654332216,587916187411.568
5168,967.77,652771736,631732902948.72
2807,979.819,652372792,639207256684.648
2215,509.983,652237635,332630105810.205
1490,862.35,652814958,562954979031.3
3954,490.914,653022301,320577789873.114
2031,399.553,651118707,260156432737.971

weighted_avg,NA,NA,3862004286785.969
weighted_%,NA,NA,1.0
weighted_total,3862004286785.969
