Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,162748,131850454.948,11580,9381548.58
5297,898.498,165805,148975460.89000002,12087,10860145.326000001
5168,967.77,163451,158182974.27,11696,11319037.92
2807,979.819,162781,159495916.639,11739,11502095.241
2215,509.983,162190,82714142.77,11714,5973940.862
1490,862.35,162331,139986137.85,11852,10220572.200000001
3954,490.914,161981,79518740.634,11771,5778548.694
2031,399.553,162609,64970913.777,11738,4689953.114

weighted_avg,NA,NA,965694741.7779999,NA,69725841.937
weighted_%,NA,NA,0.9326594013740487,NA,0.06734059862595129
weighted_total,1035420583.7149999
