Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,278655,225752626.905,334798,271236934.49799997
5297,898.498,278911,250600975.678,337850,303557549.3
5168,967.77,278900,269911053.0,334900,324106173.0
2807,979.819,278557,272935441.18299997,334939,328179596.041
2215,509.983,278335,141946118.305,334029,170349111.507
1490,862.35,277502,239303849.70000002,334957,288850168.95
3954,490.914,278441,136690585.074,333632,163784619.648
2031,399.553,278276,111186010.628,334565,133676449.445

weighted_avg,NA,NA,1648326660.4729998,NA,1983740602.389
weighted_%,NA,NA,0.45382602831373503,NA,0.546173971686265
weighted_total,3632067262.8619995
