Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,4741,3840925.891,169587,137391077.637
5297,898.498,4737,4256185.026000001,173155,155579421.19
5168,967.77,4743,4590133.11,170404,164911879.07999998
2807,979.819,4739,4643362.240999999,169781,166354649.639
2215,509.983,4732,2413239.556,169172,86274844.076
1490,862.35,4731,4079777.85,169452,146126932.20000002
3954,490.914,4734,2323986.876,169018,82973302.45199999
2031,399.553,4730,1889885.69,169617,67770981.201

weighted_avg,NA,NA,28037496.240000006,NA,1007383087.475
weighted_%,NA,NA,0.027078364754353133,NA,0.9729216352456469
weighted_total,1035420583.715
