Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
517,810.151,0,0.0,0,0.0,0,0.0,12625,10228156.375,2916095,2362477280.345
5297,898.498,0,0.0,0,0.0,0,0.0,13900,12489122.200000001,2948000,2648772104.0
5168,967.77,0,0.0,0,0.0,0,0.0,12305,11908409.85,2963880,2868354147.6
2807,979.819,0,0.0,0,0.0,0,0.0,12340,12090966.459999999,2960205,2900465102.895
2215,509.983,0,0.0,0,0.0,0,0.0,11645,5938752.035,2970525,1514917251.075
1490,862.35,0,0.0,0,0.0,0,0.0,13325,11490813.75,2971245,2562253125.75
3954,490.914,0,0.0,0,0.0,0,0.0,11920,5851694.88,2970100,1458063671.3999999
2031,399.553,0,0.0,0,0.0,0,0.0,11740,4690752.22,2990855,1195005087.815

weighted_avg,NA,NA,0.0,NA,0.0,NA,0.0,NA,74688667.77,NA,17510307770.88
weighted_%,NA,NA,0.0,NA,0.0,NA,0.0,NA,0.004247295018260114,NA,0.9957527049817398
weighted_total,17584996438.65
