Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1473333,1193622203.283,1574449,1275541431.799
5297,898.498,1473414,1323859532.1720002,1585561,1424623387.378
5168,967.77,1473161,1425681020.97,1581472,1530501157.44
2807,979.819,1472933,1443207739.1269999,1575535,1543739128.165
2215,509.983,1474107,751769510.181,1582393,806993529.319
1490,862.35,1474314,1271374677.9,1587483,1368965965.05
3954,490.914,1473603,723412343.142,1582294,776770276.716
2031,399.553,1474653,589202030.109,1583107,632535151.171

weighted_avg,NA,NA,8722129056.883999,NA,9359670027.038
weighted_%,NA,NA,0.4823706433415442,NA,0.5176293566584559
weighted_total,18081799083.921997
