Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
517,810.151,2940140,2381957361.14
5297,898.498,2974200,2672312751.6
5168,967.77,2987325,2891043515.25
2807,979.819,2985035,2924794008.665
2215,509.983,2993280,1526521914.24
1490,862.35,2997005,2584467261.75
3954,490.914,2993585,1469592786.69
2031,399.553,3013510,1204056961.03

weighted_avg,NA,NA,17654746560.364998
weighted_%,NA,NA,1.0
weighted_total,17654746560.364998
