Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,224708,182047410.908,160720,130207468.72
5297,898.498,224600,201802650.8,160134,143880078.732
5168,967.77,224643,217402756.10999998,160006,154849006.62
2807,979.819,224397,219868444.14299998,160633,157391265.427
2215,509.983,223961,114216302.663,160313,81756904.679
1490,862.35,223132,192417880.20000002,160965,138808167.75
3954,490.914,224126,110026591.164,160105,78597785.97
2031,399.553,223785,89413968.105,160448,64107479.744

weighted_avg,NA,NA,1327196004.093,NA,949598157.6420001
weighted_%,NA,NA,0.5829231409666072,NA,0.41707685903339264
weighted_total,2276794161.735
