Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,593896,481145438.29599994,0,0.0
5297,898.498,599796,538915506.408,0,0.0
5168,967.77,603869,584406302.13,0,0.0
2807,979.819,602878,590711319.082,0,0.0
2215,509.983,605460,308774307.18,0,0.0
1490,862.35,604734,521492364.90000004,0,0.0
3954,490.914,605315,297157607.90999997,0,0.0
2031,399.553,609481,243519961.993,0,0.0

weighted_avg,NA,NA,3566122807.899,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,3566122807.899
