Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,75339167,61036101484.216995
5297,898.498,75802412,68108315577.176
5168,967.77,75597267,73160767084.59
2807,979.819,75595551,74069957185.269
2215,509.983,75449414,38477918499.962
1490,862.35,75598622,65192471681.700005
3954,490.914,75606610,37116343341.54
2031,399.553,75226202,30056854687.706

weighted_avg,NA,NA,447218729542.16
weighted_%,NA,NA,1.0
weighted_total,447218729542.16
