Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
517,810.151,185506,150287871.406,3381,2739120.531,4235381,3431298152.5309997
5297,898.498,187717,168663349.066,3450,3099818.1,4235667,3805738328.1660004
5168,967.77,191675,185497314.75,3377,3268159.29,4229729,4093404834.33
2807,979.819,186199,182441317.981,3572,3499913.468,4234685,4149224822.015
2215,509.983,191283,97551078.189,3353,1709972.999,4230147,2157303057.501
1490,862.35,191378,165034818.3,3582,3088937.7,4232049,3649507455.15
3954,490.914,190878,93704682.492,3323,1631307.222,4230419,2076771912.9659998
2031,399.553,190187,75989786.411,3347,1337303.891,4231135,1690562682.655

weighted_avg,NA,NA,1119170218.595,NA,20374533.200999998,NA,25053811245.314
weighted_%,NA,NA,0.04272725567195291,NA,0.0007778511926172418,NA,0.9564948931354298
weighted_total,26193355997.11
