Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,3659,164488.88139999998,1660,74624.636
812,334.908,54881,18380085.948000003,6351,2127000.708
1358,97.2156,26711,2596725.8915999997,6015,584751.8339999999
1778,40.8635,8,326.908,16,653.816
828,45.4532,401,18226.733200000002,207,9408.8124
2213,8.07837,5,40.39185,2,16.15674
1726,65.5195,2,131.039,1,65.5195
2054,37.2896,277,10329.2192,126,4698.4896
1903,16.1097,51,821.5947,14,225.5358
509,133.977,4618,618705.786,272,36441.744
1751,10.0901,0,0.0,0,0.0
62,40.4224,887,35854.6688,92,3718.8608000000004
2151,40.7196,246,10017.0216,212,8632.5552
239,98.774,111,10963.914,21,2074.254
1893,44.3029,0,0.0,0,0.0
1305,111.513,34863,3887677.719,7724,861326.412
1673,34.2884,47,1611.5548000000001,21,720.0564
492,45.4197,7681,348868.7157,1124,51051.7428
2249,320.874,46541,14933796.834,10549,3384899.8260000004
264,17.7912,4165,74100.348,653,11617.6536
2123,26.1783,9,235.6047,10,261.783
116,27.1629,61,1656.9369,74,2010.0546
1159,18.1708,266,4833.4328,188,3416.1104
1270,263.009,19055,5011636.495,7860,2067250.7400000002
2165,28.2044,0,0.0,0,0.0
1152,171.372,311,53296.692,134,22963.848
792,79.0312,856,67650.7072,0,0.0
1979,51.6033,465,23995.534499999998,48,2476.9584
2185,56.1164,37,2076.3068,21,1178.4443999999999

weighted_avg,NA,NA,46258154.87875,NA,9261486.55164
weighted_%,NA,NA,0.8331854040654789,NA,0.16681459593452103
weighted_total,55519641.43039
