Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10455,470000.343,5575,250621.895
812,334.908,65234,21847388.472000003,37212,12462596.496000001
1358,97.2156,18428,1791489.0768,17032,1655776.0991999998
1778,40.8635,2,81.727,0,0.0
828,45.4532,239,10863.3148,676,30726.363200000003
2213,8.07837,12,96.94044,40,323.1348
1726,65.5195,195,12776.302499999998,94,6158.833
2054,37.2896,469,17488.8224,362,13498.8352
1903,16.1097,19,306.0843,27,434.9619
509,133.977,15567,2085619.959,3807,510050.439
1751,10.0901,0,0.0,0,0.0
62,40.4224,5314,214804.63360000003,1001,40462.822400000005
2151,40.7196,92,3746.2032,361,14699.775599999999
239,98.774,433,42769.142,129,12741.846
1893,44.3029,0,0.0,0,0.0
1305,111.513,23737,2646984.0810000002,23606,2632375.878
1673,34.2884,168,5760.4512,4,137.1536
492,45.4197,11743,533363.5371,6803,308990.2191
2249,320.874,26781,8593326.594,33197,10652054.178000001
264,17.7912,7707,137116.7784,2249,40012.4088
2123,26.1783,21,549.7443,39,1020.9537
116,27.1629,438,11897.3502,10,271.629
1159,18.1708,89,1617.2012,305,5542.094
1270,263.009,11384,2994094.4560000002,17199,4523491.791
2165,28.2044,211,5951.1284,3,84.6132
1152,171.372,819,140353.668,757,129728.604
792,79.0312,39872,3151132.0064,1947,153873.7464
1979,51.6033,1788,92266.7004,754,38908.8882
2185,56.1164,2,112.2328,8,448.9312

weighted_avg,NA,NA,44811956.95043999,NA,33485032.5895
weighted_%,NA,NA,0.5723330770920766,NA,0.4276669229079234
weighted_total,78296989.53993998
