Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4348276,195475008.2696
812,334.908,4082939,1367408934.612
1358,97.2156,5635432,547851903.1392
1778,40.8635,10646352,435047204.952
828,45.4532,9842063,447353257.9516
2213,8.07837,4742306,38310102.52122
1726,65.5195,2978012,195117857.23399997
2054,37.2896,2864897,106830863.1712
1903,16.1097,3125688,50353895.9736
509,133.977,9626341,1289708288.157
1751,10.0901,3678813,37119591.0513
62,40.4224,3932175,158947950.72
2151,40.7196,9259724,377052257.3904
239,98.774,2939446,290340839.204
1893,44.3029,3571237,158216155.6873
1305,111.513,6896270,769023756.51
1673,34.2884,3975120,136300504.608
492,45.4197,7273636,330366365.0292
2249,320.874,4720634,1514728714.1160002
264,17.7912,16043390,285431160.168
2123,26.1783,10479590,274337850.897
116,27.1629,6206291,168580861.8039
1159,18.1708,3876128,70432346.66239999
1270,263.009,6183256,1626251977.3040001
2165,28.2044,3286889,92704732.1116
1152,171.372,3779732,647740232.304
792,79.0312,4199444,331887098.65279996
1979,51.6033,4503103,232374975.03989998
2185,56.1164,15906487,892614787.0868

weighted_avg,NA,NA,13067909472.32802
weighted_%,NA,NA,1.0
weighted_total,13067909472.32802
