Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,6469,290811.3074
812,334.908,71593,23977068.444000002
1358,97.2156,36666,3564507.1895999997
1778,40.8635,24,980.724
828,45.4532,617,28044.6244
2213,8.07837,7,56.54859
1726,65.5195,3,196.55849999999998
2054,37.2896,465,17339.664
1903,16.1097,65,1047.1305
509,133.977,7014,939714.6780000001
1751,10.0901,0,0.0
62,40.4224,1795,72558.208
2151,40.7196,471,19178.9316
239,98.774,192,18964.608
1893,44.3029,0,0.0
1305,111.513,47481,5294748.7530000005
1673,34.2884,72,2468.7648000000004
492,45.4197,10255,465779.0235
2249,320.874,65777,21106129.098
264,17.7912,6007,106871.7384
2123,26.1783,22,575.9226
116,27.1629,265,7198.1685
1159,18.1708,466,8467.5928
1270,263.009,29438,7742458.942000001
2165,28.2044,85,2397.374
1152,171.372,506,86714.232
792,79.0312,4784,378085.2608
1979,51.6033,642,33129.3186
2185,56.1164,58,3254.7511999999997

weighted_avg,NA,NA,64168747.55678999
weighted_%,NA,NA,1.0
weighted_total,64168747.55678999
