Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,3092,138999.6232,1651,74220.0446
812,334.908,24718,8278255.944,4580,1533878.6400000001
1358,97.2156,14109,1371614.9004,4356,423471.15359999996
1778,40.8635,3,122.5905,1,40.8635
828,45.4532,314,14272.3048,314,14272.3048
2213,8.07837,10,80.7837,43,347.36991
1726,65.5195,24,1572.4679999999998,5,327.59749999999997
2054,37.2896,254,9471.5584,195,7271.472
1903,16.1097,15,241.6455,17,273.8649
509,133.977,6324,847270.5480000001,1110,148714.47
1751,10.0901,0,0.0,0,0.0
62,40.4224,1862,75266.50880000001,219,8852.5056
2151,40.7196,140,5700.744,255,10383.498
239,98.774,119,11754.106,13,1284.062
1893,44.3029,0,0.0,0,0.0
1305,111.513,18279,2038346.127,6037,673203.981
1673,34.2884,106,3634.5704000000005,25,857.21
492,45.4197,5567,252851.4699,1561,70900.1517
2249,320.874,25298,8117470.4520000005,8632,2769784.3680000002
264,17.7912,1697,30191.6664,440,7828.128
2123,26.1783,46,1204.2018,8,209.4264
116,27.1629,309,8393.3361,37,1005.0273
1159,18.1708,114,2071.4712,262,4760.7496
1270,263.009,10688,2811040.1920000003,8583,2257406.247
2165,28.2044,4,112.8176,0,0.0
1152,171.372,418,71633.496,172,29475.984000000004
792,79.0312,1649,130322.4488,24,1896.7487999999998
1979,51.6033,1090,56247.596999999994,322,16616.2626
2185,56.1164,5,280.582,27,1515.1428

weighted_avg,NA,NA,24278424.153500006,NA,8058797.27361
weighted_%,NA,NA,0.7507888149334351,NA,0.2492111850665649
weighted_total,32337221.427110005
