Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,610260,27433994.196
812,334.908,1471020,492656366.16
1358,97.2156,2485270,241607014.21199998
1778,40.8635,950,38820.325000000004
828,45.4532,187685,8530883.842
2213,8.07837,18645,150621.20865
1726,65.5195,1620,106141.59
2054,37.2896,64370,2400331.552
1903,16.1097,5640,90858.708
509,133.977,824075,110407096.275
1751,10.0901,0,0.0
62,40.4224,182735,7386587.264
2151,40.7196,173750,7075030.5
239,98.774,6990,690430.26
1893,44.3029,0,0.0
1305,111.513,3625720,404314914.36
1673,34.2884,12045,413003.77800000005
492,45.4197,908965,41284917.6105
2249,320.874,2773525,889952060.85
264,17.7912,230210,4095712.152
2123,26.1783,6205,162436.3515
116,27.1629,29200,793156.68
1159,18.1708,119750,2175953.3
1270,263.009,5224770,1374161532.93
2165,28.2044,2190,61767.636
1152,171.372,66485,11393667.420000002
792,79.0312,101670,8035102.104
1979,51.6033,360325,18593959.072499998
2185,56.1164,9130,512342.73199999996

weighted_avg,NA,NA,3654524703.069151
weighted_%,NA,NA,1.0
weighted_total,3654524703.069151
