Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2264,44.9546,353087812,15872921353.3352
812,334.908,1320554986,442264429251.288
1358,97.2156,667971946,64937293513.557594
1778,40.8635,146715358,5995303031.633
828,45.4532,27063880,1230139950.4160001
2213,8.07837,13906699,112343460.00062999
1726,65.5195,31622721,2071904868.5594997
2054,37.2896,595649016,22211513547.0336
1903,16.1097,34849904,561421498.4688
509,133.977,86874393,11639170550.961
1751,10.0901,28492774,287494938.9374
62,40.4224,336185007,13589404826.9568
2151,40.7196,344235721,14017140864.8316
239,98.774,13595214,1342853667.636
1893,44.3029,1337026,59234129.175400004
1305,111.513,1462906468,163133088966.084
1673,34.2884,25655966,879702024.5944
492,45.4197,74093010,3365282286.297
2249,320.874,2202253410,706645860680.3401
264,17.7912,162699255,2894614985.5559998
2123,26.1783,1466975,38402911.6425
116,27.1629,16944116,460251328.4964
1159,18.1708,96872624,1760253076.1792
1270,263.009,2764669656,727133001554.904
2165,28.2044,0,0.0
1152,171.372,93675691,16053390518.052002
792,79.0312,48753258,3853028483.6496
1979,51.6033,34354558,1772808562.8414
2185,56.1164,97789587,5487599579.9268

weighted_avg,NA,NA,2229669854411.353
weighted_%,NA,NA,1.0
weighted_total,2229669854411.353
