Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,74278,3339137.7788,0,0.0
812,334.908,272354,91213533.43200001,0,0.0
1358,97.2156,364888,35472805.8528,0,0.0
1778,40.8635,192,7845.792,0,0.0
828,45.4532,25124,1141966.1968,0,0.0
2213,8.07837,1316,10631.134919999999,0,0.0
1726,65.5195,254,16641.952999999998,0,0.0
2054,37.2896,8408,313530.9568,0,0.0
1903,16.1097,567,9134.1999,0,0.0
509,133.977,143457,19219938.489,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,31770,1284219.648,0,0.0
2151,40.7196,18545,755144.982,0,0.0
239,98.774,1405,138777.47,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,519634,57945946.242000006,0,0.0
1673,34.2884,2209,75743.07560000001,0,0.0
492,45.4197,142773,6484706.8281,0,0.0
2249,320.874,419434,134585465.316,0,0.0
264,17.7912,33221,591041.4552,0,0.0
2123,26.1783,825,21597.0975,0,0.0
116,27.1629,4737,128670.6573,0,0.0
1159,18.1708,10937,198734.0396,0,0.0
1270,263.009,591498,155569297.48200002,6,1578.054
2165,28.2044,429,12099.6876,0,0.0
1152,171.372,9692,1660937.424,0,0.0
792,79.0312,19389,1532335.9368,0,0.0
1979,51.6033,55694,2873994.1902,0,0.0
2185,56.1164,1181,66273.4684,0,0.0

weighted_avg,NA,NA,514670150.7863201,NA,1578.054
weighted_%,NA,NA,0.9999969338630595,NA,3.0661369404450043e-06
weighted_total,514671728.8403201
