Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,110128626,4950788330.3796
812,334.908,102154340,34212305700.72
1358,97.2156,155819947,15148129639.573198
1778,40.8635,344455409,14075653605.671501
828,45.4532,264343153,12015242201.9396
2213,8.07837,141885514,1146203679.7321799
1726,65.5195,89305443,5851247972.638499
2054,37.2896,87483164,3262212192.2944
1903,16.1097,100588703,1620453828.7191
509,133.977,303634433,40680030430.041
1751,10.0901,114301875,1153317348.9375
62,40.4224,115892908,4684669484.3392
2151,40.7196,256685806,10452143345.9976
239,98.774,86054071,8499904808.954
1893,44.3029,116308602,5152808363.5458
1305,111.513,187816234,20943951702.042
1673,34.2884,121411548,4163007722.4432
492,45.4197,222053674,10085611256.9778
2249,320.874,91519305,29366165472.570004
264,17.7912,472665152,8409280252.2624
2123,26.1783,296527242,7762579099.2486
116,27.1629,172885323,4696066740.1167
1159,18.1708,104255711,1894409673.4388
1270,263.009,138431746,36408795083.714005
2165,28.2044,102979587,2904477463.5828
1152,171.372,101710907,17430401554.404003
792,79.0312,131954022,10428484703.4864
1979,51.6033,138638949,7154227276.9317
2185,56.1164,437585791,24555739282.0724

weighted_avg,NA,NA,349108308216.774
weighted_%,NA,NA,1.0
weighted_total,349108308216.774
