Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200722,53977977.2212,1091241,49056302.6586
812,334.908,1508733,505286751.564,967809,324126976.572
1358,97.2156,1045773,101665449.65879999,1061169,103162181.03639999
1778,40.8635,1379373,56366008.5855,208378,8515054.403
828,45.4532,1162854,52855435.4328,2690414,122287925.62480001
2213,8.07837,1190610,9618188.1057,293388,2370096.81756
1726,65.5195,1230024,80590557.468,165045,10813665.8775
2054,37.2896,1403693,52343150.4928,91548,3413788.3008
1903,16.1097,822217,13245669.2049,29741,479118.58770000003
509,133.977,1145807,153511784.439,428030,57346175.31
1751,10.0901,1324017,13359463.931699999,67552,681606.4352
62,40.4224,1425255,57612227.712000005,456333,18446075.0592
2151,40.7196,1324330,53926187.868,2013470,81987693.012
239,98.774,1450417,143263488.75800002,93742,9259272.308
1893,44.3029,673142,29822142.7118,51255,2270745.1395
1305,111.513,1251096,139513468.248,1391978,155223642.71400002
1673,34.2884,1381364,47364761.37760001,324671,11132449.116400002
492,45.4197,977157,44382177.792899996,582760,26468784.371999998
2249,320.874,1368468,439105801.032,2097503,673034177.6220001
264,17.7912,1359521,24187510.0152,2756259,49037155.1208
2123,26.1783,1109317,29040033.2211,438285,11473556.2155
116,27.1629,1253479,34048124.729100004,1141978,31019434.2162
1159,18.1708,1385269,25171445.9452,636319,11562425.2852
1270,263.009,1314343,345684038.087,2338088,614938186.792
2165,28.2044,1108415,31262180.026,38184,1076956.8096
1152,171.372,1169648,200444917.05600002,875416,150021790.752
792,79.0312,1192038,94208193.5856,106470,8414451.864
1979,51.6033,1060369,54718539.617699996,352467,18188460.3411
2185,56.1164,1107888,62170686.1632,3056111,171497947.3204

weighted_avg,NA,NA,2948746360.0508003,NA,2727306095.68346
weighted_%,NA,NA,0.5195065378706665,NA,0.48049346212933347
weighted_total,5676052455.734261
