Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,47369,2129454.4474,59501,2674843.6546
812,334.908,396537,132803413.596,128745,43117730.46
1358,97.2156,107800,10479841.68,120597,11723909.7132
1778,40.8635,4,163.454,41,1675.4035000000001
828,45.4532,539,24499.274800000003,2383,108314.9756
2213,8.07837,43,347.36991,451,3643.34487
1726,65.5195,681,44618.7795,793,51956.9635
2054,37.2896,1681,62683.8176,3423,127642.3008
1903,16.1097,85,1369.3245,238,3834.1086
509,133.977,71132,9530051.964,24701,3309365.8770000003
1751,10.0901,0,0.0,8,80.7208
62,40.4224,35569,1437784.3456000001,20105,812692.3520000001
2151,40.7196,303,12338.0388,2911,118534.7556
239,98.774,2339,231032.386,1138,112404.812
1893,44.3029,1,44.3029,18,797.4522000000001
1305,111.513,135557,15116367.741,147463,16444041.519000001
1673,34.2884,388,13303.899200000002,307,10526.5388
492,45.4197,57650,2618445.705,40888,1857120.6935999999
2249,320.874,175016,56158083.984000005,172560,55370017.440000005
264,17.7912,42456,755343.1872,29233,520090.1496
2123,26.1783,96,2513.1168,48,1256.5584
116,27.1629,782,21241.3878,294,7985.8926
1159,18.1708,410,7450.028,4603,83640.1924
1270,263.009,52672,13853210.048,141126,37117408.134
2165,28.2044,691,19489.2404,249,7022.8956
1152,171.372,2873,492351.75600000005,5361,918725.2920000001
792,79.0312,153292,12114850.7104,17593,1390395.9016
1979,51.6033,4423,228241.39589999997,1901,98097.87329999999
2185,56.1164,27,1515.1428,352,19752.9728

weighted_avg,NA,NA,258160050.12351003,NA,176013508.94796997
weighted_%,NA,NA,0.5946010408271037,NA,0.4053989591728962
weighted_total,434173559.07148004
