Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1563632,340007087.504,250173,54399368.331
2298,16.1495,1276699,20618050.5005,27086,437425.357
2235,73.9095,1555972,115001112.534,266167,19672269.886499997
562,151.883,1180062,179231356.74600002,679301,103174273.783
2322,74.3347,1462517,108715762.4399,207651,15435674.7897
533,77.6496,1550072,120362470.77120002,1334155,103596602.08800001
655,136.191,1192009,162340897.719,127422,17353729.602
414,208.958,1450774,303150833.492,778145,162599622.91
253,149.505,1158107,173142787.035,466995,69818087.475
853,129.616,1843062,238890324.19200003,1022131,132484531.69600001
907,262.418,1412767,370735490.606,1346216,353271310.288
1114,12.9007,412465,5321087.225500001,122472,1579974.5304
939,1055.11,1279029,1349516288.1899998,1203551,1269878695.61
2606,11.2554,1581984,17805862.7136,146621,1650278.0034
2837,150.956,1269465,191633358.54,536257,80951211.69199999
1793,150.359,1485577,223369872.143,886064,133227696.97600001
1046,85.9267,1112881,95626191.8227,207295,17812175.276499998
554,46.3771,1366997,63397356.5687,630769,29253236.9899
1970,47.9169,1331312,63792343.972799994,22142,1060975.9997999999

weighted_avg,NA,NA,4142658534.7159,NA,2567657141.2842
weighted_%,NA,NA,0.6173567287649968,NA,0.3826432712350032
weighted_total,6710315676.0001
