Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,90640,19709396.080000002,8050,1750448.35
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,58,4286.750999999999
562,151.883,12485,1896259.2550000001,3045,462483.73500000004
2322,74.3347,4,297.3388,6,446.0082
533,77.6496,759,58936.04640000001,1357,105370.50720000001
655,136.191,9,1225.719,75,10214.325
414,208.958,54723,11434808.634,18429,3850886.982
253,149.505,101842,15225888.209999999,7892,1179893.46
853,129.616,7,907.3120000000001,106,13739.296000000002
907,262.418,7677,2014582.986,3296,864929.728
1114,12.9007,786,10139.950200000001,62,799.8434
939,1055.11,126118,133068362.97999999,39113,41268517.43
2606,11.2554,2,22.5108,43,483.9822
2837,150.956,121499,18341003.044,14893,2248187.7079999996
1793,150.359,4,601.436,62,9322.258
1046,85.9267,82563,7094366.1321,4854,417088.2018
554,46.3771,1423,65994.6133,570,26434.947
1970,47.9169,1344,64400.313599999994,587,28127.220299999997

weighted_avg,NA,NA,208987266.47069997,NA,52241660.73309999
weighted_%,NA,NA,0.8000157896282932,NA,0.19998421037170672
weighted_total,261228927.20379996
