Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2766,217.447,1688177,367089024.119,266252,57895698.644
2298,16.1495,1276699,20618050.5005,27086,437425.357
2235,73.9095,1556000,115003181.99999999,266362,19686682.239
562,151.883,1197818,181928191.294,685968,104186877.744
2322,74.3347,1462557,108718735.82789999,207699,15439242.8553
533,77.6496,1552544,120554420.58240001,1339840,104038040.06400001
655,136.191,1192120,162356014.92000002,127917,17421144.147
414,208.958,1531529,320025236.782,841769,175894366.702
253,149.505,1297774,194023701.87,485043,72516353.715
853,129.616,1843155,238902378.48000002,1022409,132520564.94400002
907,262.418,1425834,374164506.612,1352249,354854478.082
1114,12.9007,413355,5332568.8485,122540,1580851.7780000002
939,1055.11,1456841,1537127507.5099998,1316822,1389392060.4199998
2606,11.2554,1582037,17806459.2498,147098,1655646.8292
2837,150.956,1425652,215210723.31199998,561368,84741867.808
1793,150.359,1485658,223382051.222,886934,133358509.30600001
1046,85.9267,1228803,105586986.7401,218922,18811245.0174
554,46.3771,1369454,63511305.1034,632398,29328785.2858
1970,47.9169,1348545,64618095.9105,23574,1129593.0006

weighted_avg,NA,NA,4435959140.8841,NA,2714889433.9382997
weighted_%,NA,NA,0.6203402427654221,NA,0.37965975723457795
weighted_total,7150848574.822399
