Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4102979,892180474.613
2298,16.1495,2878184,46481232.508
2235,73.9095,12397049,916259693.0654999
562,151.883,3914989,594620274.2870001
2322,74.3347,4288178,318760425.1766
533,77.6496,9303454,722409481.7184001
655,136.191,4304565,586243011.915
414,208.958,4632630,968025099.54
253,149.505,5093518,761506408.59
853,129.616,12803504,1659538974.4640002
907,262.418,5285915,1387119242.47
1114,12.9007,7843200,101182770.24000001
939,1055.11,4733121,4993963298.309999
2606,11.2554,48676115,547869144.771
2837,150.956,4614441,696577555.596
1793,150.359,18281580,2748800087.2200003
1046,85.9267,4304760,369893821.092
554,46.3771,3763246,174528436.0666
1970,47.9169,76651108,3672883476.9252

weighted_avg,NA,NA,22158842908.568302
weighted_%,NA,NA,1.0
weighted_total,22158842908.568302
