Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,6315,1373177.805,607,131990.329
2298,16.1495,0,0.0,0,0.0
2235,73.9095,74,5469.303,53,3917.2034999999996
562,151.883,1818,276123.294,542,82320.58600000001
2322,74.3347,18,1338.0246,14,1040.6858
533,77.6496,1497,116241.45120000001,752,58392.499200000006
655,136.191,189,25740.099000000002,156,21245.796000000002
414,208.958,20696,4324594.768,10426,2178596.108
253,149.505,9745,1456926.2249999999,735,109886.175
853,129.616,81,10498.896,72,9332.352
907,262.418,1325,347703.85000000003,365,95782.57
1114,12.9007,7,90.3049,1,12.9007
939,1055.11,41721,44020244.309999995,13847,14610108.169999998
2606,11.2554,101,1136.7954,64,720.3456
2837,150.956,8070,1218214.92,709,107027.80399999999
1793,150.359,64,9622.976,98,14735.182
1046,85.9267,6486,557320.5762,441,37893.674699999996
554,46.3771,199,9229.0429,55,2550.7405
1970,47.9169,138,6612.5322,13,622.9196999999999

weighted_avg,NA,NA,53760285.17340001,NA,17466176.041699998
weighted_%,NA,NA,0.754779673961997,NA,0.245220326038003
weighted_total,71226461.2151
