Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,64421719,14008309531.393
2298,16.1495,46249896,746912695.452
2235,73.9095,205191609,15165609225.385498
562,151.883,55053664,8361715649.312
2322,74.3347,67649680,5028718667.896
533,77.6496,144529393,11222649554.6928
655,136.191,69941003,9525335139.573
414,208.958,67304248,14063761053.584
253,149.505,80006034,11961302113.17
853,129.616,208322036,27001869018.176003
907,262.418,73193941,19207407609.338
1114,12.9007,121061862,1561782763.1034
939,1055.11,65064527,68650233082.96999
2606,11.2554,819352673,9222142075.6842
2837,150.956,69660962,10515740179.671999
1793,150.359,299990608,45106287828.272
1046,85.9267,68786494,5910596433.9897995
554,46.3771,56758292,2632284983.9132
1970,47.9169,1295987074,62099683026.1506

weighted_avg,NA,NA,341992340631.7275
weighted_%,NA,NA,1.0
weighted_total,341992340631.7275
