Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,165630,36015746.61
2298,16.1495,0,0.0
2235,73.9095,19680,1454538.96
562,151.883,234390,35599856.370000005
2322,74.3347,8235,612146.2545
533,77.6496,614385,47706749.49600001
655,136.191,75425,10272206.175
414,208.958,2106245,440116742.71
253,149.505,920395,137603654.475
853,129.616,47660,6177498.5600000005
907,262.418,141170,37045549.06
1114,12.9007,13050,168354.135
939,1055.11,2485335,2622301811.85
2606,11.2554,43970,494899.93799999997
2837,150.956,333215,50300803.54
1793,150.359,55900,8405068.1
1046,85.9267,1069490,91897746.383
554,46.3771,69225,3210454.7475
1970,47.9169,3253785,155911290.46649998

weighted_avg,NA,NA,3685295117.8304996
weighted_%,NA,NA,1.0
weighted_total,3685295117.8304996
