Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
2766,217.447,15,3261.705
2298,16.1495,16,258.392
2235,73.9095,16,1182.552
562,151.883,14,2126.362
2322,74.3347,15,1115.0205
533,77.6496,15,1164.7440000000001
655,136.191,16,2179.056
414,208.958,14,2925.412
253,149.505,15,2242.575
853,129.616,15,1944.2400000000002
907,262.418,13,3411.434
1114,12.9007,15,193.5105
939,1055.11,13,13716.429999999998
2606,11.2554,16,180.0864
2837,150.956,15,2264.3399999999997
1793,150.359,16,2405.744
1046,85.9267,15,1288.9005
554,46.3771,15,695.6564999999999
1970,47.9169,16,766.6704

weighted_avg,NA,NA,43322.8308
weighted_%,NA,NA,1.0
weighted_total,43322.8308
