Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,6922,1505168.134
2298,16.1495,0,0.0
2235,73.9095,127,9386.5065
562,151.883,2360,358443.88
2322,74.3347,32,2378.7104
533,77.6496,2249,174633.9504
655,136.191,345,46985.895000000004
414,208.958,31122,6503190.876
253,149.505,10480,1566812.4
853,129.616,153,19831.248000000003
907,262.418,1690,443486.42
1114,12.9007,8,103.2056
939,1055.11,55568,58630352.48
2606,11.2554,165,1857.141
2837,150.956,8779,1325242.724
1793,150.359,162,24358.158000000003
1046,85.9267,6927,595214.2509
554,46.3771,254,11779.7834
1970,47.9169,151,7235.4519

weighted_avg,NA,NA,71226461.21510002
weighted_%,NA,NA,1.0
weighted_total,71226461.21510002
