Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
4118,2431.67,97912,238089673.04000002,78032,189748073.44
1010,22.174,94805,2102206.07,80466,1784253.084
1362,2347.06,98821,231938816.26,78071,183237321.26
5198,1186.62,96116,114053167.91999999,77186,91590451.32

weighted_avg,NA,NA,586183863.29,NA,466360099.104
weighted_%,NA,NA,0.5569210258512444,NA,0.4430789741487557
weighted_total,1052543962.3939999
