Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
2766,217.447,0,0.0,0,0.0,1,217.447
2298,16.1495,0,0.0,0,0.0,0,0.0
2235,73.9095,4,295.638,0,0.0,0,0.0
562,151.883,25,3797.0750000000003,0,0.0,4,607.532
2322,74.3347,0,0.0,0,0.0,3,223.0041
533,77.6496,44,3416.5824000000002,0,0.0,11,854.1456000000001
655,136.191,9,1225.719,0,0.0,0,0.0
414,208.958,142,29672.036,0,0.0,50,10447.9
253,149.505,1,149.505,0,0.0,0,0.0
853,129.616,1,129.616,0,0.0,0,0.0
907,262.418,2,524.836,0,0.0,1,262.418
1114,12.9007,0,0.0,0,0.0,0,0.0
939,1055.11,83,87574.12999999999,0,0.0,21,22157.309999999998
2606,11.2554,2,22.5108,0,0.0,0,0.0
2837,150.956,2,301.912,0,0.0,0,0.0
1793,150.359,1,150.359,0,0.0,0,0.0
1046,85.9267,6,515.5602,0,0.0,6,515.5602
554,46.3771,1,46.3771,0,0.0,1,46.3771
1970,47.9169,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,127821.8565,NA,0.0,NA,35331.693999999996
weighted_%,NA,NA,0.7834451417592656,NA,0.0,NA,0.2165548582407344
weighted_total,163153.55049999998
