Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2766,217.447,13,2826.811,1,217.447
2298,16.1495,0,0.0,0,0.0
2235,73.9095,7,517.3665,27,1995.5565
562,151.883,48,7290.384,149,22630.567000000003
2322,74.3347,4,297.3388,8,594.6776
533,77.6496,123,9550.900800000001,158,12268.6368
655,136.191,17,2315.247,43,5856.213
414,208.958,334,69791.972,2030,424184.74
253,149.505,3,448.515,12,1794.06
853,129.616,9,1166.544,16,2073.856
907,262.418,8,2099.344,30,7872.54
1114,12.9007,1,12.9007,0,0.0
939,1055.11,239,252171.28999999998,2079,2193573.69
2606,11.2554,2,22.5108,27,303.8958
2837,150.956,4,603.824,0,0.0
1793,150.359,3,451.077,18,2706.462
1046,85.9267,34,2921.5078,96,8248.9632
554,46.3771,11,510.1481,16,742.0336
1970,47.9169,0,0.0,0,0.0

weighted_avg,NA,NA,352997.68149999995,NA,2685063.3385
weighted_%,NA,NA,0.11619176809687645,NA,0.8838082319031235
weighted_total,3038061.02
