Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,118861,25845967.867,4492,976771.924
2298,16.1495,0,0.0,0,0.0
2235,73.9095,11948,883070.7059999999,68391,5054744.614499999
562,151.883,11184,1698659.472,11859,1801180.4970000002
2322,74.3347,2586,192229.5342,2633,195723.2651
533,77.6496,32648,2535104.1408,13465,1045551.8640000001
655,136.191,6506,886058.6460000001,7179,977715.189
414,208.958,683909,142908256.822,176370,36853922.46
253,149.505,37860,5660259.3,2471,369426.855
853,129.616,21978,2848700.4480000003,23490,3044679.8400000003
907,262.418,5969,1566373.0420000001,4586,1203448.948
1114,12.9007,632,8153.2424,788,10165.7516
939,1055.11,462656,488152972.15999997,68674,72458624.13999999
2606,11.2554,76397,859878.7938,253308,2851082.8632
2837,150.956,20216,3051726.496,1090,164542.03999999998
1793,150.359,43586,6553547.374000001,87457,13149947.063000001
1046,85.9267,50265,4319105.5755,2787,239477.71289999998
554,46.3771,3695,171363.3845,1752,81252.6792
1970,47.9169,1437,68856.58529999999,804,38525.1876

weighted_avg,NA,NA,688210283.5895,NA,140516782.89409998
weighted_%,NA,NA,0.8304426287289837,NA,0.16955737127101633
weighted_total,828727066.4835999
